Video ID,Title,Category,Likes,Dislikes,Watch Time (Seconds),Product Tags,Number of Views,score,ratings
VID0247,Introduction to Programming,Technology,900,12,3900,programming,15000,0.0592,1.0000763636228873
VID0248,DIY Home Improvement Projects,Home & DIY,500,15,2700,DIY home improvement,8000,0.060625,1.0000783706686616
VID0249,Quick and Easy Breakfast Recipes,Cooking,220,5,2000,cooking breakfast,4000,0.05375,1.000068687553084
VID0250,Tips for Effective Leadership,Business,300,6,2400,leadership,6000,0.049,1.000061997400503
VID0251,Introduction to Machine Learning,Education,1024,15,3600,machine learning,5000,0.2018,1.0002772090456324
VID0252,How to Bake a Cake,Food,876,20,2400,baking recipe,3000,0.2853333333333333,1.0003948618341785
VID0253,Yoga for Beginners,Health,1350,30,4200,yoga beginners,8000,0.165,1.000225377968795
VID0254,Top 10 Action Movies of All Time,Entertainment,2050,40,5400,movies action,10000,0.201,1.0002760822830925
VID0255,DIY Home Decoration Ideas,Lifestyle,920,25,3000,DIY decoration,6000,0.14916666666666667,1.000203077460192
VID0256,Basic Guitar Tutorial,Music,1560,35,4800,guitar tutorial,7000,0.21785714285714286,1.0002998247794699
VID0257,How to Start a Small Business,Business,740,18,3200,business startup,4000,0.1805,1.0002472089930066
VID0258,Travel Vlog: Exploring Europe,Travel,1890,50,6000,travel vlog,12000,0.15333333333333332,1.0002089460150876
VID0259,Introduction to Astrophysics,Education,820,22,2800,astrophysics,4500,0.17733333333333334,1.000242748891286
VID0260,Healthy Cooking Recipes,Food,1045,28,3600,cooking healthy,5500,0.1849090909090909,1.0002534189910959
VID0261,Meditation Techniques for Stress,Health,1720,45,5000,meditation stress,9000,0.18611111111111112,1.0002551119802658
VID0262,Behind the Scenes: Movie Making,Entertainment,980,23,3400,movies behind the scenes,6000,0.1595,1.000217631476333
VID0263,DIY Gardening Tips,Lifestyle,695,17,2600,DIY gardening,3500,0.19371428571428573,1.0002658206956752
VID0264,Learn to Play Piano,Music,1420,32,4600,piano tutorial,8000,0.1735,1.000237349820782
VID0265,Financial Planning for Beginners,Business,620,14,2800,finance planning,4000,0.1515,1.0002063638509335
VID0266,Backpacking Europe: Tips & Tricks,Travel,1985,55,6200,travel backpacking,11000,0.17545454545454545,1.0002401027065329
VID0267,Introduction to Quantum Physics,Education,930,26,3200,quantum physics,5000,0.1808,1.000247631528959
VID0268,Quick & Easy Dinner Recipes,Food,1160,31,3800,cooking recipes,6500,0.1736923076923077,1.0002376206771617
VID0269,Healthy Habits for a Better Life,Health,1450,37,4800,health habits,8000,0.176625,1.0002417512369537
VID0270,Movie Review: Sci-Fi Classics,Entertainment,1895,48,5800,movies sci-fi,10000,0.1847,1.000253124496341
VID0271,DIY Home Improvement Ideas,Lifestyle,810,21,2800,DIY home improvement,4500,0.17533333333333334,1.000239931984936
VID0272,Guitar Solo Techniques,Music,1280,29,4200,guitar solo,7000,0.17871428571428571,1.0002446938980512
VID0273,Marketing Strategies for Small Businesses,Business,675,16,2600,marketing small business,3500,0.18828571428571428,1.0002581748070112
VID0274,Travel Guide: Tokyo,Travel,1675,42,5400,travel guide,9000,0.18144444444444444,1.0002485391987828
VID0275,Introduction to Artificial Intelligence,Education,1025,24,3400,artificial intelligence,6000,0.16683333333333333,1.0002279601329491
VID0276,Baking for Beginners,Food,920,27,3200,baking beginners,5500,0.16236363636363638,1.0002216647740612
VID0277,Yoga for Stress Relief,Health,1580,34,4600,yoga stress relief,8000,0.19325,1.0002651667709868
VID0278,Top 10 Comedy Movies,Entertainment,2150,51,6400,movies comedy,11000,0.19081818181818183,1.0002617416689479
VID0279,DIY Fashion: Upcycling Clothes,Lifestyle,750,19,2600,DIY fashion,4000,0.18275,1.0002503780126502
VID0280,Drumming Basics for Beginners,Music,1380,33,4800,drumming beginners,7500,0.1796,1.000245941385149
VID0281,Business Plan Essentials,Business,710,20,3000,business planning,5000,0.138,1.0001873497330718
VID0282,Solo Travel Tips,Travel,1740,46,5600,travel solo,9500,0.1783157894736842,1.000244132634756
VID0283,Introduction to Psychology,Education,875,23,3200,psychology,5500,0.1549090909090909,1.000211165395848
VID0284,Healthy Breakfast Ideas,Food,1080,29,3600,cooking breakfast,6000,0.17516666666666666,1.00023969724274
VID0285,Mindfulness Meditation,Health,1620,38,5000,mindfulness meditation,8500,0.18611764705882353,1.0002551211858421
VID0286,Behind the Scenes: TV Production,Entertainment,975,22,3200,TV production behind the scenes,5500,0.17327272727272727,1.0002370297177876
VID0287,DIY Home Organization Tips,Lifestyle,720,16,2800,DIY organization,4500,0.15644444444444444,1.0002133278694094
VID0288,Advanced Guitar Techniques,Music,1460,35,5000,guitar advanced,8000,0.178125,1.000243863916716
VID0289,Social Media Marketing Strategies,Business,680,18,2800,marketing social media,4500,0.1471111111111111,1.0002001823064435
VID0290,Traveling on a Budget,Travel,1850,48,6000,travel budget,10000,0.1802,1.000246786457054
VID0291,Chemistry Basics for Beginners,Education,940,25,3400,chemistry beginners,6000,0.1525,1.0002077723041083
VID0292,Vegetarian Cooking Recipes,Food,1120,30,3800,cooking vegetarian,6500,0.1676923076923077,1.000229169958112
VID0293,Stress Management Techniques,Health,1550,40,4800,stress management,8500,0.1776470588235294,1.0002431907589486
VID0294,Hollywood Movie Trivia,Entertainment,2200,55,6800,movies trivia,12000,0.17875,1.0002447441999502
VID0295,DIY Home Renovation Tips,Lifestyle,830,22,3000,DIY renovation,5000,0.1616,1.0002205892280003
VID0296,Advanced Drumming Techniques,Music,1540,38,5200,drumming advanced,8500,0.17670588235294118,1.0002418651559604
VID0297,Financial Management for Small Businesses,Business,725,17,3000,finance small business,5000,0.1416,1.0001924201645016
VID0298,Travel Guide: Paris,Travel,1705,44,5800,travel guide,9500,0.17484210526315788,1.000239240113201
VID0299,Physics Experiments for Kids,Education,890,28,3600,physics kids,5500,0.15672727272727272,1.0002137262198023
VID0300,Vegan Cooking: Easy Recipes,Food,1195,32,4000,cooking vegan,233444,0.004981922859443807,1.0
VID0301,How to Cook a Perfect Steak,Cooking,1500,50,1800,steak cooking,5000,0.29,1.0004014346156616
VID0302,The Ultimate Guide to Gardening,Gardening,1200,30,2400,gardening plants,4500,0.26,1.0003591810204135
VID0303,Mastering Chess Strategy,Gaming,800,20,3600,chess strategy,3000,0.26,1.0003591810204135
VID0304,10 Tips for Better Sleep,Health,2000,100,1200,sleep health,6000,0.31666666666666665,1.000438993366993
VID0305,DIY Home Decor Ideas,DIY & Crafts,1800,60,1500,home decor crafts,5500,0.31636363636363635,1.0004385665630005
VID0306,Exploring National Parks,Travel,2500,70,2000,national parks travel,7000,0.34714285714285714,1.000481917654229
VID0307,Learning Guitar Basics,Music,1700,40,2100,guitar music,4000,0.415,1.0005774912625278
VID0308,Introduction to Astrophysics,Science,900,25,3000,astrophysics science,3500,0.25,1.0003450964886642
VID0309,Easy Vegan Recipes,Cooking,1400,55,1700,vegan cooking,4800,0.28020833333333334,1.000387643511657
VID0310,Yoga for Beginners,Fitness,1600,45,2200,yoga fitness,5200,0.29903846153846153,1.0004141648655118
VID0311,Digital Photography Tips,Photography,1100,35,2700,photography tips,4200,0.25357142857142856,1.0003501266785746
VID0312,Financial Planning 101,Finance,1900,75,1900,finance planning,5800,0.3146551724137931,1.0004361602715262
VID0313,DIY Skincare Products,Beauty,2200,80,1600,skincare DIY,6200,0.3419354838709677,1.000474583312811
VID0314,History of Ancient Civilizations,History,1300,50,2300,history civilizations,4000,0.3125,1.0004331248120975
VID0315,Quick and Healthy Breakfast Ideas,Cooking,1750,65,1850,breakfast cooking,5300,0.3179245283018868,1.0004407650062066
VID0316,Introduction to Meditation,Wellness,1400,40,2500,meditation wellness,4700,0.28936170212765955,1.0004005356029966
VID0317,Coding for Beginners,Technology,2000,90,1300,coding technology,6800,0.28088235294117647,1.0003885928367136
VID0318,Basics of Watercolor Painting,Art,1200,55,2400,watercolor art,4100,0.27926829268292686,1.0003863195084184
VID0319,Healthy Meal Prep Ideas,Cooking,1650,70,2100,meal prep cooking,5600,0.28214285714285714,1.0003903681978583
VID0320,Hiking Tips for Beginners,Outdoors,1300,40,2800,hiking outdoors,4400,0.2863636363636364,1.0003963129677527
VID0321,Introduction to Psychology,Education,1500,60,2000,psychology education,4900,0.2938775510204082,1.000406895964707
VID0322,Basic Car Maintenance,Automotive,1800,50,1900,car maintenance auto,5400,0.32407407407407407,1.000449426353474
VID0323,Quick and Easy Dessert Recipes,Cooking,2100,85,1700,dessert cooking,6000,0.3358333333333333,1.0004659887195124
VID0324,Introduction to Cryptocurrency,Finance,2300,75,1500,cryptocurrency finance,6200,0.3588709677419355,1.0004984361488383
VID0325,Tips for Better Time Management,Productivity,1900,60,2200,time management tips,5800,0.31724137931034485,1.0004398028228405
VID0326,Beginner's Guide to Bird Watching,Nature,1400,45,2600,bird watching nature,5100,0.2656862745098039,1.0003671898718003
VID0327,Healthy Snack Ideas,Cooking,1700,55,2000,snacks cooking,4700,0.35,1.0004859418061574
VID0328,Introduction to Data Science,Technology,2500,70,1900,data science tech,6400,0.3796875,1.0005277552597882
VID0329,DIY Home Repair Tips,Home & Garden,1600,50,2300,home repair DIY,5100,0.30392156862745096,1.0004210424931947
VID0330,Beginner's Guide to Drawing,Art,2000,65,2100,drawing art,5700,0.3394736842105263,1.0004711159832633
VID0331,Vegan Meal Ideas,Cooking,1900,80,1800,vegan cooking,5900,0.30847457627118646,1.0004274551912662
VID0332,Introduction to Astronomy,Science,2200,75,1700,astronomy science,6100,0.3483606557377049,1.0004836328665263
VID0333,Photography Editing Techniques,Photography,1800,60,2200,photography editing,5500,0.31636363636363635,1.0004385665630005
VID0334,Beginner's Guide to Yoga,Fitness,2100,70,2000,yoga fitness,5900,0.3440677966101695,1.0004775865754585
VID0335,Investing for Beginners,Finance,2300,85,1600,investing finance,6300,0.3515873015873016,1.0004881774461176
VID0336,Healthy Smoothie Recipes,Cooking,1800,50,2300,smoothie cooking,5400,0.32407407407407407,1.000449426353474
VID0337,Beginner's Guide to Meditation,Wellness,1900,60,2100,meditation wellness,5700,0.32280701754385965,1.0004476417636812
VID0338,Introduction to Machine Learning,Technology,2400,70,1800,machine learning tech,6200,0.3758064516129032,1.0005222889848653
VID0339,DIY Home Decor Projects,DIY & Crafts,1700,55,2100,home decor crafts,4900,0.3357142857142857,1.0004658210465154
VID0340,Tips for a Healthy Lifestyle,Health,2000,65,1900,healthy lifestyle health,5700,0.3394736842105263,1.0004711159832633
VID0341,Introduction to World History,History,1400,45,2300,world history history,5200,0.2605769230769231,1.0003599935895529
VID0342,Basic Car Maintenance Tips,Automotive,1800,60,2000,car maintenance auto,5300,0.3283018867924528,1.00045538102972
VID0343,Vegan Cooking Tips,Cooking,2100,75,1700,vegan cooking,5900,0.3432203389830508,1.000476392971073
VID0344,Introduction to Blockchain,Technology,2200,80,1600,blockchain tech,6000,0.35333333333333333,1.0004906366500739
VID0345,DIY Skincare Tips,Beauty,1700,55,2100,skincare DIY,4900,0.3357142857142857,1.0004658210465154
VID0346,Fitness Tips for Beginners,Fitness,1900,65,1800,fitness tips,5600,0.32767857142857143,1.000454503119217
VID0347,Introduction to Environmental Science,Science,2400,70,1900,environmental science science,6300,0.36984126984126986,1.00051388730566
VID0348,Quick and Easy Dinner Recipes,Cooking,2000,75,1700,dinner cooking,6000,0.32083333333333336,1.0004448619218884
VID0349,Introduction to Artificial Intelligence,Technology,2500,85,1600,artificial intelligence tech,6400,0.37734375,1.0005244541976595
VID0350,DIY Home Organization Ideas,Home & Garden,1700,60,2000,home organization DIY,5300,0.30943396226415093,1.0004288064415139
